,Title,Time,Link
135,UnionBank becomes the first bank from the Philippines to join ...,"Nov 18, 2020",https://www.finextra.com/pressarticle/85048/unionbank-becomes-the-first-bank-from-the-philippines-to-join-bian
136,After delays- Israel starts vaccinating Palestinian workers,6 days ago,https://www.sandiegouniontribune.com/news/nation-world/story/2021-03-08/after-delays-israel-starts-vaccinating-palestinian-workers
137,Union Bank Becomes First Filipino Bank to Join BIAN to ...,"Nov 23, 2020",https://thefintechtimes.com/union-bank-becomes-first-filipino-bank-to-join-bian-to-define-the-future-of-banking-standards/
138,Union Bank gets shareholders nod to raise up to ₹6-800 crore,"Dec 30, 2020",https://www.livemint.com/industry/banking/union-bank-gets-shareholders-nod-to-raise-up-to-6-800-crore-11609332018425.html
139,Dukes dominate Limestone in Atlantic Union Bank Center ...,"Nov 25, 2020",https://www.whsv.com/2020/11/26/dukes-dominate-limestone-in-atlantic-union-bank-center-opener/
140,Union Bank of India to rationalise 950 branches soon,1 month ago,https://www.thehindubusinessline.com/money-and-banking/union-bank-of-india-to-rationalise-950-branches-soon/article33784285.ece
141,Union Bank net dives 37% due to threefold jump in provisions,1 month ago,https://www.financialexpress.com/industry/banking-finance/union-bank-net-dives-37-due-to-threefold-jump-in-provisions/2182213/
142,Union Bank Sells Its Diamond Portfolio – JCK,"Jul 20, 2020",https://www.jckonline.com/editorial-article/union-bank-diamond-portfolio/
143,Atlantic Union Bankshares Corporation Declares Quarterly ...,"Oct 29, 2020",https://www.globenewswire.com/news-release/2020/10/29/2117309/0/en/Atlantic-Union-Bankshares-Corporation-Declares-Quarterly-Common-Stock-Dividend-and-Preferred-Stock-Dividend.html
144,Atlantic Union Bank in James City County robbed; search ...,"Sep 17, 2020",https://wydaily.com/local-news/2020/09/17/atlantic-union-bank-in-james-city-county-robbed-search-underway-for-suspect/
145,Union Bank completes Corp Bank integration,"Dec 2, 2020",https://timesofindia.indiatimes.com/business/india-business/union-bank-completes-corp-bank-integration/articleshow/79519827.cms
146,Union Bank of India net profit falls 37% to Rs 727 crore in Dec quarter,1 month ago,https://www.business-standard.com/article/companies/union-bank-of-india-net-profit-falls-37-to-rs-727-crore-in-dec-quarter-121013000006_1.html
147,Citizens Union Bank Welcomes Grand Opening of New ...,"Oct 29, 2020",https://www.prweb.com/releases/citizens_union_bank_welcomes_grand_opening_of_new_branch_in_springhurst/prweb17508566.htm
148,Photos: JC Brager holds off Union Bank to stay undefeated at ...,"Jul 24, 2020",https://journalstar.com/sports/high-school/baseball/photos-jc-brager-holds-off-union-bank-to-stay-undefeated-at-legion-city-tournament/collection_693be0cc-3a95-5903-a292-d2d245970cd3.html
149,Union Bank & Trust promotes Lindley,"Aug 9, 2020",https://journalstar.com/business/achievements/union-bank-trust-promotes-lindley/article_91f8ed79-b867-589f-ad0b-125a94541786.html
150,Union Bank & Trust promotes Lindley,"Aug 9, 2020",https://journalstar.com/business/achievements/union-bank-trust-promotes-lindley/article_91f8ed79-b867-589f-ad0b-125a94541786.html
151,Longtime tenant's exit frees up 33K SF in historic downtown ...,"Oct 8, 2020",https://www.bizjournals.com/portland/news/2020/10/08/33-000-square-feet-advertised-union-bank-building.html
152,Atlantic Union Bank EPS beats by $0.23- beats on revenue,1 month ago,https://seekingalpha.com/news/3654268-atlantic-union-bank-eps-beats-0_23-beats-on-revenue
